utterance,intentClass
"you're actually so trash",E
"uninstall the game",E
"bot player",E
"you're completely useless",E
"dogwater teammate",E
"you sold the whole match",E
"worst player i've ever seen",E
"stop feeding idiot",E
"learn how to aim",E
"absolute clown player",E
"nice aim bro",I
"great job missing every shot",I
"wow amazing teamwork there",I
"totally useful teammate",I
"you're carrying us backwards",I
"nice throw",I
"good one genius",I
"love having teammates like you",I
"that was definitely intentional",I
"you're helping the enemy team more",I
"report this guy",A
"mute this teammate",A
"kick him from the party",A
"ban this thrower",A
"please report jungle",A
"everyone mute this guy",A
"send the replay to mods",A
"admin should remove him",A
"block this player",A
"queue dodge this toxic guy",A
"rotate to B site",O
"save your ultimate",O
"group up after respawn",O
"good try team",O
"we can still win this",O
"watch flank",O
"i need healing",O
"push together next round",O
"nice clutch",O
"let's defend objective",O
"gg",O
"nice shot",O
"where are we landing",O
"push B",O
"he's one hp",O
"good try",O
"lets queue again",O
"need ammo",O
"watch flank",O
"what do u think?",O
"how r u doin",O
"what's up",O
"gg",O
"gg wp",O
"well played everyone",O
"nice shot",O
"good try team",O
"close game",O
"lets queue again",O
"watch flank",O
"push mid",O
"rotate B",O
"save your ult",O
"group up",O
"need healing",O
"i need ammo",O
"where are we landing",O
"follow me",O
"he's one hp",O
"enemy on site",O
"plant the spike",O
"defuse now",O
"cover me",O
"im lagging",O
"brb one sec",O
"hold this angle",O
"nice clutch",O
"buy next round",O
"eco this round",O
"lets rush A",O
"rotate now",O
"drop me a weapon",O
"thanks for the heal",O
"good comms",O
"watch your left",O
"sniper mid",O
"they're rotating",O
"we can still win",O
"nice teamwork",O
"wait for respawn",O
"play objective",O
"watch the bomb",O
"stack B site",O
"im going support",O
"can someone defend",O
"push together",O
"lets go next",O
"good half",O
"nt nt",O
"all good",O